----------------------------------------
Begin PBS Prologue Tue Apr  4 16:17:26 EDT 2017 1491337046
Job ID:		86426087.gm-1r16-n04.guillimin.clumeq.ca
Username:	akashi
Group:		rck-371-01
Nodes:		sw-2r12-n60
End PBS Prologue Tue Apr  4 16:17:26 EDT 2017 1491337046
----------------------------------------
PHiPerSolver available.
Max OMP threads = 1
Preconditioner choice: f
Preconditioner: Number of sweeps = 2, 2
Domain boundaries in each dimension:
-1.000000 1.000000 -1.000000 1.000000 -1.000000 1.000000 
CartMesh: Number of points in each direction: 60 60 60 
CartMesh: Setting up DMDA
CartMesh: Total points = 216000, interior points = 195112, total number of partitions = 1
CartMesh: generateMesh_cheb: Generating grid
CartMesh: generateMesh_Cheb: h = 0.092216
ComputeRHS: Starting
ComputeRHS: Done
ComputeLHS: Setting values of the LHS matrix...
ComputeLHS: Done.
Using FGPILU as preconditioner.
compute_fgpilu_local(): First-time setup
compute_fgpilu_local: Factorizing. 2 build sweeps, chunk size is 1024 threads.
118 KSP Residual norm 2.650794723493e-04 
119 KSP Residual norm 2.521882521865e-04 
120 KSP Residual norm 2.400055114782e-04 
121 KSP Residual norm 2.284863502714e-04 
122 KSP Residual norm 2.175892047375e-04 
123 KSP Residual norm 2.072755638899e-04 
124 KSP Residual norm 1.975097123228e-04 
125 KSP Residual norm 1.882584965255e-04 
126 KSP Residual norm 1.794911125609e-04 
127 KSP Residual norm 1.711789130806e-04 
128 KSP Residual norm 1.632952318560e-04 
129 KSP Residual norm 1.558152241687e-04 
130 KSP Residual norm 1.487157215496e-04 
131 KSP Residual norm 1.419750995133e-04 
132 KSP Residual norm 1.355731570492e-04 
133 KSP Residual norm 1.294910067604e-04 
134 KSP Residual norm 1.237109746382e-04 
135 KSP Residual norm 1.182165085668e-04 
136 KSP Residual norm 1.129920947271e-04 
137 KSP Residual norm 1.080231811650e-04 
138 KSP Residual norm 1.032961078463e-04 
139 KSP Residual norm 9.879804259619e-05 
140 KSP Residual norm 9.451692237274e-05 
141 KSP Residual norm 9.044139938940e-05 
142 KSP Residual norm 8.656079162618e-05 
143 KSP Residual norm 8.286503733844e-05 
144 KSP Residual norm 7.934465320202e-05 
145 KSP Residual norm 7.599069575600e-05 
146 KSP Residual norm 7.279472585543e-05 
147 KSP Residual norm 6.974877586771e-05 
148 KSP Residual norm 6.684531936410e-05 
149 KSP Residual norm 6.407724309165e-05 
150 KSP Residual norm 6.143782103459e-05 
151 KSP Residual norm 5.892069037394e-05 
152 KSP Residual norm 5.651982919136e-05 
153 KSP Residual norm 5.422953577406e-05 
154 KSP Residual norm 5.204440937986e-05 
155 KSP Residual norm 4.995933234808e-05 
156 KSP Residual norm 4.796945344246e-05 
157 KSP Residual norm 4.607017233599e-05 
158 KSP Residual norm 4.425712513132e-05 
159 KSP Residual norm 4.252617085798e-05 
160 KSP Residual norm 4.087337884511e-05 
161 KSP Residual norm 3.929501692623e-05 
162 KSP Residual norm 3.778754039627e-05 
163 KSP Residual norm 3.634758167497e-05 
164 KSP Residual norm 3.497194061948e-05 
165 KSP Residual norm 3.365757544032e-05 
166 KSP Residual norm 3.240159417940e-05 
167 KSP Residual norm 3.120124670662e-05 
168 KSP Residual norm 3.005391720047e-05 
169 KSP Residual norm 2.895711708275e-05 
170 KSP Residual norm 2.790847836571e-05 
171 KSP Residual norm 2.690574739917e-05 
172 KSP Residual norm 2.594677897669e-05 
173 KSP Residual norm 2.502953078439e-05 
174 KSP Residual norm 2.415205817200e-05 
175 KSP Residual norm 2.331250921054e-05 
176 KSP Residual norm 2.250912004605e-05 
177 KSP Residual norm 2.174021049906e-05 
178 KSP Residual norm 2.100417991616e-05 
179 KSP Residual norm 2.029950324835e-05 
180 KSP Residual norm 1.962472734494e-05 
181 KSP Residual norm 1.897846744991e-05 
182 KSP Residual norm 1.835940388280e-05 
183 KSP Residual norm 1.776627890427e-05 
184 KSP Residual norm 1.719789374270e-05 
185 KSP Residual norm 1.665310577810e-05 
186 KSP Residual norm 1.613082587781e-05 
187 KSP Residual norm 1.563001586208e-05 
188 KSP Residual norm 1.514968610824e-05 
189 KSP Residual norm 1.468889327062e-05 
190 KSP Residual norm 1.424673812157e-05 
191 KSP Residual norm 1.382236349411e-05 
192 KSP Residual norm 1.341495233181e-05 
