----------------------------------------
Begin PBS Prologue Tue Apr  4 17:04:05 EDT 2017 1491339845
Job ID:		86431635.gm-1r16-n04.guillimin.clumeq.ca
Username:	akashi
Group:		rck-371-01
Nodes:		sw-2r12-n60
End PBS Prologue Tue Apr  4 17:04:05 EDT 2017 1491339845
----------------------------------------
Max OMP threads = 4
Preconditioner choice: f
Preconditioner: Number of sweeps = 2, 2
Domain boundaries in each dimension:
-1.000000 1.000000 -1.000000 1.000000 -1.000000 1.000000 
CartMesh: Number of points in each direction: 60 60 60 
CartMesh: Setting up DMDA
CartMesh: Total points = 216000, interior points = 195112, total number of partitions = 1
CartMesh: generateMesh_cheb: Generating grid
CartMesh: generateMesh_Cheb: h = 0.092216
ComputeRHS: Starting
ComputeRHS: Done
ComputeLHS: Setting values of the LHS matrix...
ComputeLHS: Done.
Using FGPILU as preconditioner.
compute_fgpilu_local(): First-time setup
compute_fgpilu_local: Factorizing. 2 build sweeps, chunk size is 1024 threads.
118 KSP Residual norm 2.650815539597e-04 
119 KSP Residual norm 2.521881130225e-04 
120 KSP Residual norm 2.400032446017e-04 
121 KSP Residual norm 2.284250920125e-04 
122 KSP Residual norm 2.175890914590e-04 
123 KSP Residual norm 2.072734767259e-04 
124 KSP Residual norm 1.975071618553e-04 
125 KSP Residual norm 1.882541913494e-04 
126 KSP Residual norm 1.794858102739e-04 
127 KSP Residual norm 1.711726753652e-04 
128 KSP Residual norm 1.632929636059e-04 
129 KSP Residual norm 1.558072021278e-04 
130 KSP Residual norm 1.487069028423e-04 
131 KSP Residual norm 1.419654074262e-04 
132 KSP Residual norm 1.355627711867e-04 
133 KSP Residual norm 1.294800626356e-04 
134 KSP Residual norm 1.236991708984e-04 
135 KSP Residual norm 1.182062137939e-04 
136 KSP Residual norm 1.129791163562e-04 
137 KSP Residual norm 1.080098241644e-04 
138 KSP Residual norm 1.032812517066e-04 
139 KSP Residual norm 9.878361086748e-05 
140 KSP Residual norm 9.450211278062e-05 
141 KSP Residual norm 9.042684584520e-05 
142 KSP Residual norm 8.654506295417e-05 
143 KSP Residual norm 8.284906031167e-05 
144 KSP Residual norm 7.932816644752e-05 
145 KSP Residual norm 7.597327577190e-05 
146 KSP Residual norm 7.277761772953e-05 
147 KSP Residual norm 6.973098668290e-05 
148 KSP Residual norm 6.682613857828e-05 
149 KSP Residual norm 6.405877029837e-05 
150 KSP Residual norm 6.141952644495e-05 
151 KSP Residual norm 5.890206146661e-05 
152 KSP Residual norm 5.650100935675e-05 
153 KSP Residual norm 5.421045993873e-05 
154 KSP Residual norm 5.202578155569e-05 
155 KSP Residual norm 4.993979164916e-05 
156 KSP Residual norm 4.794962843839e-05 
157 KSP Residual norm 4.605015021714e-05 
158 KSP Residual norm 4.423688308899e-05 
159 KSP Residual norm 4.250572383038e-05 
160 KSP Residual norm 4.085276167739e-05 
161 KSP Residual norm 3.927314089575e-05 
162 KSP Residual norm 3.776639977834e-05 
163 KSP Residual norm 3.632638069388e-05 
164 KSP Residual norm 3.495072483876e-05 
165 KSP Residual norm 3.363630251371e-05 
166 KSP Residual norm 3.237849411786e-05 
167 KSP Residual norm 3.117974842631e-05 
168 KSP Residual norm 3.003232134782e-05 
169 KSP Residual norm 2.893545191457e-05 
170 KSP Residual norm 2.788669472327e-05 
171 KSP Residual norm 2.688380605604e-05 
172 KSP Residual norm 2.592485430418e-05 
173 KSP Residual norm 2.500749729133e-05 
174 KSP Residual norm 2.413002839383e-05 
175 KSP Residual norm 2.329035019488e-05 
176 KSP Residual norm 2.248699344541e-05 
177 KSP Residual norm 2.171808591017e-05 
178 KSP Residual norm 2.098200142741e-05 
179 KSP Residual norm 2.027729524176e-05 
180 KSP Residual norm 1.960253552745e-05 
181 KSP Residual norm 1.895627775189e-05 
182 KSP Residual norm 1.833726036709e-05 
183 KSP Residual norm 1.774410934615e-05 
184 KSP Residual norm 1.717563081471e-05 
185 KSP Residual norm 1.663083650806e-05 
